product_name,country,wine_type,short_description,rating,reviews,price_per_bottle,quantity,actual_price,after_discount_price,saving_amount
Catalyst by Sparkman Cellars Red Blend 2022 ,United States,Red blend,Family-Made Washington Red,,,$39.99 per bottle,12 bottles - $479.88,,,
Bonded Winery No. 2 by The Bundschu Family Sonoma Valley 2022 ,United States,Cabernet Sauvignon,Iconic Sonoma Cab Sauvignon,,1 Review,$54.99 per bottle,12 bottles - $659.88,$659.88- original price,$479.88- savings price,Save $180.00
Pillastro Primitivo 2022 ,Italy,Primitivo,94-Point Italian Bestseller,,1894 Reviews,$15.99 per bottle,12 bottles - $191.88,$191.88- original price,$167.88- savings price,Save $24.00
The Black Stump Durif Shiraz 2024 ,Australia,Durif-based blend,Gold-Medal Aussie Blockbuster,,2199 Reviews,$16.99 per bottle,12 bottles - $203.88,$203.88- original price,$155.88- savings price,Save $48.00
J Opi Malbec 2024 ,Argentina,Malbec,The Magician's Signature Malbec,,1111 Reviews,$16.99 per bottle,12 bottles - $203.88,$203.88- original price,$167.88- savings price,Save $36.00
Pillastro Primitivo 2023 ,Italy,Primitivo,Popular Italian Bestseller,,1888 Reviews,$15.99 per bottle,12 bottles - $191.88,$191.88- original price,$167.88- savings price,Save $24.00
Abbesse Sauvignon Blanc 2024 ,France,Sauvignon Blanc,Fabulous French Sauvignon Blanc,,19 Reviews,$18.99 per bottle,12 bottles - $227.88,$227.88- original price,$167.88- savings price,Save $60.00
w/o Lucido 2024 ,Italy,Lucido,Organically Grown Sicilian White,,43 Reviews,$19.99 per bottle,12 bottles - $239.88,$239.88- original price,$191.88- savings price,Save $48.00
Queen Bee Viognier 2024 ,South Africa,Viognier,Elegant South African Viognier,,39 Reviews,$19.99 per bottle,12 bottles - $239.88,$239.88- original price,$167.88- savings price,Save $72.00
Lobo e Falcão 2024 ,Portugal,Castelão-based blend,Powerful Portuguese Favorite,,935 Reviews,$19.99 per bottle,12 bottles - $239.88,$239.88- original price,$167.88- savings price,Save $72.00
Saracosa 2024 ,Italy,Sangiovese-based blend,Bestselling Super Tuscan,,1085 Reviews,$19.99 per bottle,12 bottles - $239.88,$239.88- original price,$167.88- savings price,Save $72.00
Le Champ des Etoiles Pinot Noir 2024 ,France,Pinot Noir,Bestselling French Pinot,,324 Reviews,$21.99 per bottle,12 bottles - $263.88,$263.88- original price,$191.88- savings price,Save $72.00
Cabalié 2023 ,France,Grenache-based blend,Award-Winning French Favorite,,738 Reviews,$17.99 per bottle,12 bottles - $215.88,$215.88- original price,$179.88- savings price,Save $36.00
Cabalié 2024 ,France,Grenache-based blend,French Favorite,,3 Reviews,$17.99 per bottle,12 bottles - $215.88,$215.88- original price,$179.88- savings price,Save $36.00
Vale de Rosas Pinot Noir Trio 2022 ,,,Gold-Medal Portuguese Pinot Noir—Just $13.99 a Bottle,,,,3 bottles - $50.97,$50.97- original price,$41.97- savings price,Save $9.00
Chasm de Cabrespine Minervois 2019 ,France,Syrah-based blend,Chasm-Aged Southern French Red,,,$24.99 per bottle,12 bottles - $299.88,$299.88- original price,$191.88- savings price,Save $108.00
Abbesse Sauvignon Blanc 2023 ,France,Sauvignon Blanc,Gold-Medal French Sauvignon Blanc,,19 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
The Waxed Bat 2024 ,Argentina,Shiraz-based blend,Acclaimed Argentine Phenomenon,,1256 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Saserello Rosso 2022 ,Italy,Red blend,Dark-Fruited Sicilian Red,,1135 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Le Secret des Etoiles Pinot Noir Trio 2024 ,,,Award-Winning French Pinot Noir—25% Off,,,,3 bottles - $89.97,$89.97- original price,$65.97- savings price,Save $24.00
Schroeder Estate Pinot Noir Trio 2024 ,,,Pristine Patagonia Pinot Noir—20% Off,,,,3 bottles - $74.97,$74.97- original price,$59.97- savings price,Save $15.00
Manga del Brujo Blanco 2024 ,Spain,Macabeo-based blend,Old-Vine Spanish White,,19 Reviews,$26.99 per bottle,12 bottles - $323.88,$323.88- original price,$239.88- savings price,Save $84.00
Paraje Lencia Toro Reserva 2020 ,Spain,Tempranillo,Luxurious Spanish Reserva,,,$29.99 per bottle,12 bottles - $359.88,$359.88- original price,$215.88- savings price,Save $144.00
La Chiamata Montepulciano d'Abruzzo 2022 ,Italy,Montepulciano,Classic Italian Montepulciano,,133 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
w/o Frappato 2023 ,Italy,Frappato,94-Point Organically Grown Sicilian Red,,44 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Inside Track Pinot Noir Trio  ,,,"91-Point, Insiders-Only Pinot Noir—50% Off",,,,3 bottles - $119.97,$119.97- original price,$59.97- savings price,Save $60.00
Prenzoli Collezione Privata Vin Santo del Chianti (half bottle) 2015 ,Italy,Trebbiano-based blend,"Luscious, Top-Estate Vin Santo",,,$29.99 per bottle,12 bottles - $359.88,,,
Aluado Alicante Bouschet 2023 ,Portugal,Alicante Bouschet,Bestselling Portuguese Red,,1503 Reviews,$15.99 per bottle,12 bottles - $191.88,$191.88- original price,$155.88- savings price,Save $36.00
Antonio Federici Rosso 2021 ,Italy,Red blend,Heralded Roman Sensation,,258 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Pagos de Tahola Rioja 2023 ,Spain,Tempranillo,"Top-Estate, Gold-Medal Rioja",,564 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Collezione di Paolo Chianti 2023 ,Italy,Sangiovese,Top Winemaker’s Signature Chianti,,616 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Capisco Pinot Grigio 2024 ,Italy,Pinot Grigio,Thrilling Italian Pinot Grigio,,,$14.99 per bottle,12 bottles - $179.88,,,
Gewürztraminer Grand Cru Trio  ,,,Luxe Alsace Grand Cru Gewürztraminer—30% Off,,,,3 bottles - $149.97,$149.97- original price,$104.97- savings price,Save $45.00
Crimson Berry Farms Arabica Noir (half bottle) NV ,United States,Other Red,Decadent Dessert Wine,,,$29.99 per bottle,12 bottles - $359.88,,,
Edouard Leiber Six  ,,,Over $90 Off—Top-Estate Alsace Whites,,,,6 bottles - $247.94,$247.94- original price,$149.94- savings price,Save $98.00
Saracosa Governo Rosso 2023 ,Italy,Sangiovese-based blend,98-Point Tuscan Rarity,,763 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Baronesa de Vilar Rosé Port (50cl) NV ,Portugal,Red blend,Portugal’s Sweet New Sensation,,,$24.99 per bottle,3 bottles - $74.97,$74.97- original price,$59.97- savings price,Save $15.00
L'Epiphanie de Sauternes (half bottle) 2019 ,France,Sémillon-based blend,"95-Point, Top-Secret Sauternes",,3 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
The Jumper Sauvignon Blanc 2024 ,New Zealand,Sauvignon Blanc,Classic New Zealand Sauvignon Blanc,,422 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Crimson Berry Farms Pasek Cranberry Wine NV ,United States,Cranberry,Totally Unique Cranberry Wine,,11 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Baronesa de Vilar White Port NV ,Portugal,Gouveio,Family-Made White Port,,10 Reviews,$24.99 per bottle,3 bottles - $74.97,$74.97- original price,$59.97- savings price,Save $15.00
Riesling Grand Cru Pfingstberg  ,,,Premium Alsace Grand Cru Riesling—30% Off,,,,3 bottles - $149.97,$149.97- original price,$104.97- savings price,Save $45.00
Vina Baccana Pinot Grigio 2023 ,Italy,Pinot Grigio,Classic Italian Pinot Grigio,,532 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Prestige de Mireval Cabernet Sauvignon 2023 ,France,Cabernet Sauvignon,"Gold-Medal, Barrel-Aged French Cabernet",,86 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Cuvée du Vatican Réserve de l'Abbé Côtes du Rhône 2023 ,France,Syrah-based blend,Top-Estate Côtes-du-Rhône Réserve,,289 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Le Champ des Etoiles Chardonnay 2023 ,France,Chardonnay,Barrel-Aged French Chardonnay,,145 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
RedHeads The Red Sedan Cabernet Sauvignon Shiraz 2021 ,Australia,Cabernet-based blend,Boutique Australian Blockbuster,,161 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
La Cantera Reserva 2019 ,Spain,Tempranillo-based blend,Old-Vine Spanish Reserva,,,$17.99 per bottle,12 bottles - $215.88,$215.88- original price,$179.88- savings price,Save $36.00
Altos de la Guardia Tempranillo 2022 ,Spain,Tempranillo,Acclaimed Estate's 90-Point Rioja,,190 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
L'Art Provençal Rosé 2023 ,France,Grenache-based blend,Artful Provence Rosé,,67 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
El Bombero 2023 ,Spain,Garnacha,Old-Vine Spanish Garnacha,,466 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Stones & Bones (Magnum) 2023 ,Portugal,Touriga Nacional-based blend,Portuguese Blockbuster MAGNUM,,,$34.99 per bottle,12 bottles - $419.88,,,
des Armes des Princes 2024 ,France,Grenache-based blend,Rich Rhône Red,,,$22.99 per bottle,12 bottles - $275.88,,,
NXT BNK Meritage Red Wine 2024 ,United States,Red blend,Your Next Favorite Red Blend,,,$24.99 per bottle,12 bottles - $299.88,,,
Massaro Del Fondo Appassimento 2024 ,Italy,Red blend,Full-Flavored Italian Blockbuster,,371 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Yarrunga Field Special Reserve White 2025 ,Australia,White blend,Sunshine-in-a-Glass from Australia,,138 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
Palumbo Puglia 2024 ,Italy,Nero di Troia-based blend,Rich Southern Italian Red,,59 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
Hacienda de Lluna Viognier 2024 ,Spain,Viognier,Lovely Spanish Viognier,,1 Review,$15.99 per bottle,12 bottles - $191.88,,,
Valoroso Cabernet Sauvignon 2023 ,Portugal,Cabernet Sauvignon,Valiant Portuguese Cabernet,,88 Reviews,$23.99 per bottle,12 bottles - $287.88,,,
La Cuadrilla de Sobreño 2023 ,Spain,Tinta de Toro,Tantalizing Spanish Red,,21 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Farinelli Pinot Grigio 2024 ,Italy,Pinot Grigio,Classic Italian Pinot Grigio,,125 Reviews,$12.99 per bottle,12 bottles - $155.88,,,
Côte de Cristal Piquepoul 2024 ,France,Picpoul,Thrillingly Fresh Mediterranean White,,,$19.99 per bottle,12 bottles - $239.88,,,
Mirlo Merlot 2024 ,Spain,Merlot,Easy-Drinking Spanish Merlot,,,$14.99 per bottle,12 bottles - $179.88,,,
Saserello Rosso 2024 ,Italy,Red blend,Dark-Fruited Sicilian Red,,1135 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Colle Marianna Soave 2024 ,Italy,Garganega,Star Winemaker’s Fine Soave,,19 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Le Serret Haut Medoc 2021 ,France,Merlot-based blend,Elegant Left Bank Bordeaux,,,$29.99 per bottle,12 bottles - $359.88,,,
DeLoach Private Collection Zinfandel 2019 ,United States,Zinfandel,Old-Vine Lodi Zin Release,,54 Reviews,$26.99 per bottle,12 bottles - $323.88,,,
Vecciano 2021 ,Italy,Sangiovese-based blend,Esteemed Tuscan Legend,,1 Review,$42.99 per bottle,12 bottles - $515.88,,,
Stones & Bones 2023 ,Portugal,Touriga Nacional-based blend,Best-Selling Portuguese Blockbuster,,1722 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Château Le Coin Bordeaux 2024 ,France,Merlot-based blend,Classic Dark-Fruited Bordeaux,,6 Reviews,$23.99 per bottle,12 bottles - $287.88,,,
Edizione Limitata Numerata Chianti Numero 3 Particella 2022 ,Italy,Sangiovese,Iconic Chianti,,21 Reviews,$24.99 per bottle,12 bottles - $299.88,$299.88- original price,$203.88- savings price,Save $96.00
Lustrato Prosecco  ,Italy,Glera,Celebration-Worthy Prosecco,,1 Review,$18.99 per bottle,12 bottles - $227.88,,,
Casa de Vila Verde 2024 ,Portugal,Loureiro-based blend,Portugal’s Freshest White,,192 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
Black Saint Peter Lodi Zinfandel Lodi 2023 ,United States,Zinfandel,Bestselling Lodi Zinfandel,,,$19.99 per bottle,12 bottles - $239.88,$239.88- original price,$179.88- savings price,Save $60.00
Trimboli Salvatore Trebbiano 2024 ,Australia,Trebbiano,Barrel-Aged Australian Trebbiano,,39 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
Peña Garnacha 2023 ,Spain,Garnacha,Old-Vine Spanish Garnacha,,10 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Quinta do Espírito Santo 2023 ,Portugal,Castelão-based blend,Top-Estate Portuguese Blockbuster,,194 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Antonio Federici Rosso Roma 2022 ,Italy,Montepulciano-based blend,Heralded Roman Sensation,,258 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
200 Gallons Reserva 2022 ,Portugal,Alicante Bouschet,Historic Portuguese Reserva,,100 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Les Pagodes de Cos C12 2009 ,France,Red blend,“Incredibly Sexy” 2009 Bordeaux,,1 Review,$89.99 per bottle,12 bottles - $1079.88,,,
Purple Owl Pinot Noir 2024 ,United States,Pinot Noir,Best-Selling California Pinot Noir,,222 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Affogato 2024 ,Italy,Nero di Troia-based blend,Luscious Puglian Red,,152 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
Black Saint Peter Old Vine Zinfandel 2023 ,United States,Zinfandel,Award-Winning Lodi Zinfandel,,413 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Purple Owl Pinot Noir 2023 ,United States,Pinot Noir,Best-Selling California Pinot Noir,,223 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Altos de la Guardia Blanco 2022 ,Spain,White blend,Lush White Rioja,,2 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Dark Corner Durif Shiraz 2024 ,Australia,Durif-based blend,Acclaimed Australian Red,,620 Reviews,$14.99 per bottle,12 bottles - $179.88,,,
The Inaugural R Collection by Raymond Vineyards Cab Sauv 2024 ,United States,Cabernet Sauvignon,Top-Estate California Cab,,1337 Reviews,$24.99 per bottle,12 bottles - $299.88,$299.88- original price,$227.88- savings price,Save $72.00
Vesuvium Greco di Tufo 2022 ,Italy,Greco,A Refreshing Italian Rarity,,14 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Corsiero Nero 2024 Trio  ,,,Gold-Medal Italian Red—Just $11.99 a Bottle,,,,3 bottles - $56.97,$56.97- original price,$35.97- savings price,Save $21.00
Shroud Mountain Cabernet Sauvignon 2023 ,United States,Cabernet-based blend,Crowdpleasing Cabernet,,,$24.99 per bottle,12 bottles - $299.88,,,
Capital Z Zinfandel 2023 ,United States,Zinfandel,Intense Lodi Zinfandel,,222 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Hacienda de Lluna Moscatel Rosado 2024 ,Spain,Moscatel,Low-Alcohol Rosé Moscato,,,$11.99 per bottle,12 bottles - $143.88,,,
Font del Victoire Pinot Noir 2024 ,France,Pinot Noir,Southern French Pinot Noir,,5 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
"Edizione Limitata Numerata, Numero 21 Venezia Guilia Rosso 2015 ",Italy,Refosco-based blend,Mature Italian Refosco Rarity,,,$39.99 per bottle,12 bottles - $479.88,,,
Lima Dorata Pinot Grigio 2024 ,Italy,Pinot Grigio,Elegant Italian Pinot Grigio,,13 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Hole in the Clouds Sauvignon Blanc 2024 ,New Zealand,Sauvignon Blanc,Top-Estate New Zealand Sauvignon Blanc,,80 Reviews,$23.99 per bottle,12 bottles - $287.88,,,
Stones & Bones 3 litre Wine Box 2021 ,Portugal,Touriga Nacional-based blend,Portuguese Fave—Now in a Sleek Box,,11 Reviews,$35.99 per box,12 boxes - $431.88,,,
Belle Roche Cabernet Sauvignon 2024 ,France,Cabernet Sauvignon,Stylish French Cab,,421 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
La Chiamata Montepulciano d'Abruzzo 2023 ,Italy,Montepulciano,Classic Italian Montepulciano,,133 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
The Assist Cabernet Sauvignon 2024 ,United States,Cabernet Sauvignon,Triumphant California Cabernet,,93 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
The Clink Petite Sirah Petit Verdot 2022 ,United States,Red blend,Double-Gold-Medal California Red,,64 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Stonewall Sauvignon Blanc 2023 ,New Zealand,Sauvignon Blanc,Top-Estate Marlborough Sauvignon Blanc,,241 Reviews,$23.99 per bottle,12 bottles - $287.88,,,
Palumbo Falanghina 2024 ,Italy,Falanghina,Delightful New Falanghina,,,$15.99 per bottle,12 bottles - $191.88,,,
Drawbridge Cabernet Sauvignon 2023 ,United States,Cabernet Sauvignon,Classic California Cabernet,,109 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Corsiero Nero Puglia 2024 ,Italy,Nero di Troia,Rich Italian Rarity,,974 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
"Inside Track Cabernet Sauvignon 2022, Barossa Valley Trio  ",,,Limited-Release Barossa Valley Cab—Save 50%,,,,3 bottles - $89.97,$89.97,$44.97,Save $45.00
RedHeads Barrel Monkeys Shiraz Cabernet 2022 ,Australia,Shiraz-based blend,Barrel-Aged Barossa Blend,,3 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Saserello Bianco 2023 ,Italy,White blend,Vibrant Sicilian White Rarity,,48 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Alambrado Malbec 2024 ,Argentina,Malbec,Forever Favorite Malbec,,1039 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Split Rock Sauvignon Blanc 2023 ,New Zealand,Sauvignon Blanc,Acclaimed New Zealand Sauvignon,,157 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Domaine Martin Rasteau 2023 ,France,Grenache-based blend,Old-Vine Rhône red,,51 Reviews,$36.99 per bottle,12 bottles - $443.88,,,
McPherson Aquarius Marsanne Viognier 2024 ,Australia,Marsanne-based blend,Vibrant Aussie White,,53 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Palacio del Conde Gran Selección 2020 ,Spain,Tempranillo,Barrel-Aged Spanish Gran Selección,,790 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Prestige de Mireval Cabernet Sauvignon 2024 ,France,Cabernet Sauvignon,Barrel-Aged French Cabernet,,86 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Cuvée Prestigieux Côtes du Rhône 2023 ,France,Grenache-based blend,Delicious Côtes-du-Rhône,,16 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
La Scelta di Sofia Toscana 2024 ,Italy,Sangiovese,Rare White Sangiovese,,2 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
The Huguenot Chenin Blanc 2021 ,South Africa,Chenin Blanc,Historic-Estate Chenin Blanc,,68 Reviews,$11.99 per bottle,12 bottles - $143.88,,,
Rookery Red Zinfandel 2023 ,United States,Zinfandel,Smooth California Zinfandel,,11 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Maureen O'Hara Sauvignon Blanc 2022 ,United States,Sauvignon Blanc,Striking Washington Sauvignon Blanc,,5 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Currant Bun Red Blend 2023 ,United States,Red blend,A True California Treat,,82 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Portinho do Côvo Branco 2024 ,Portugal,White blend,Fresh Portuguese White,,43 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
Pillastro Selezione d'Oro Puglia 2023 ,Italy,Primitivo-based blend,Sensational Italian Blockbuster,,777 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Tenuta Albrizzi Cabernet Sauvignon Primitivo 2022 ,Italy,Red blend,Sumptuous ‘Super Puglian’,,291 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Big Hitter Souzao 2022 ,United States,Souzao,96-Point California Rarity,,2 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
La Chiamata Trebbiano 2024 ,Italy,Trebbiano,Classic Italian Trebbiano,,51 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
Rushrose GSM 2024 ,United States,Red blend,Quintessential California GSM,,35 Reviews,$32.99 per bottle,12 bottles - $395.88,,,
Aluado Alicante Bouschet Reserva 2022 ,Portugal,Alicante Bouschet,Sumptuous Portuguese Reserva,,219 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Pillastro Nero 2023 ,Italy,Cabernet-based blend,Old-Vine Puglian Red,,264 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Tenuta Fenice Nero d’Avola 2024 ,Italy,Nero d'Avola,Historic Sicilian Nero d’Avola,,316 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Pagos de Tahola Rioja Reserva 2016 ,Spain,Tempranillo,Perfectly Aged Rioja Reserva,,211 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
