product_name,country,wine_type,short_description,rating,reviews,price_per_bottle,quantity,actual_price,after_discount_price,saving_amount
Wyfold Vineyard Brut 2017 ,United Kingdom,Chardonnay-based blend,Award-Winning English Bubbly,,2 Reviews,$59.99 per bottle,12 bottles - $719.88,,,
Julien Bouchard Burgundy Collection  ,,,Exceptional Burgundy in White & Red,,,,6 bottles - $349.94,$349.94,$299.94,Save $50.00
Members' Loire Valley Whites  ,,,Legends of the Loire,,,,6 bottles - $180.94,$180.94,$166.94,
Gourdon Family Thank You Deal  ,,,Fresh from France—Over 25% Off,,,,6 bottles - $125.94,$125.94,$89.94,Save $36.00
Norrel Robertson Thank You Deal  ,,,High-Flying Spanish Reds—25% Off,,,,6 bottles - $127.94,$127.94,$95.94,Save $32.00
Château Sixtine Châteauneuf-du-Pape 2022 (6 btls)  ,,,Château Sixtine Vineyard Partnership (6 bottles),,,,6 bottles - $419.94,$419.94,$269.94,Save $150.00
Luciani Brunello di Montalcino 2019  ,,,Luciani Brunello Vineyard Partnership (6 Bottles),,,,6 bottles - $389.94,$389.94,$269.94,Save $120.00
"Inside Track Cabernet Sauvignon 2022, Margaret River Trio  ",,,Top-Vintage Margaret River Cab—50% Off,,,,3 bottles - $149.97,$149.97,$74.97,Save $75.00
Altos de la Guardia Reserva Colección Privada 2009 ,Spain,Tempranillo,Classic Aged Rioja,,,$36.99 per bottle,12 bottles - $443.88,,,
Round the Blend Red Wine 2024 ,United States,Red blend,Luscious California Red,,,$19.99 per bottle,12 bottles - $239.88,,,
Kellerei Aichholz Pinot Bianco 2024 ,Italy,Pinot Bianco,Brisk Italian Pinot Blanc,,,$34.99 per bottle,12 bottles - $419.88,,,
Inside Track Limited Release Margaret River Cabernet Sauvignon 2022 ,Australia,Cabernet Sauvignon,Top-Secret Maraget River Cab,,,$49.99 per bottle,12 bottles - $599.88,,,
Château Guyon la Roseraie 2022 ,France,Merlot-based blend,Multi-Gold-Medal Bordeaux,,,$23.99 per bottle,12 bottles - $287.88,,,
La Part du Boucher NV ,France,Red blend,A Blend of Bordeaux's Best,,3 Reviews,$25.99 per bottle,12 bottles - $311.88,,,
Grand Vin de l'Epervier 2023 ,France,Syrah-based blend,Luxurious Languedoc Cuvée,,1 Review,$49.99 per bottle,12 bottles - $599.88,,,
Julien Bouchard Bourgogne Hautes-Côtes de Nuits Dames Huguettes 2022 ,France,Pinot Noir,Striking and Structured Burgundy,,,$44.99 per bottle,12 bottles - $539.88,,,
Inside Track Limited Release Central Otago Pinot Noir 2022 ,New Zealand,Pinot Noir,Top-Secret New Zealand Pinot Noir,,1 Review,$39.99 per bottle,12 bottles - $479.88,,,
Rated PG Pinot Grigio 2024 ,United States,Pinot Grigio,Unique California Discovery,,2 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
¡Hola! Mediterráneo Orange Spritz NV ,Spain,Macabeo-based blend,Refreshing Spanish Spritz,,,$16.99 per bottle,12 bottles - $203.88,,,
Barana Amarone della Valpolicella 2020 ,Italy,Red blend,Boutique Amarone Discovery,,,$79.99 per bottle,12 bottles - $959.88,,,
Il Picchio Verdicchio di Matelica 2024 ,Italy,Verdicchio,Zippy Italian White,,,$22.99 per bottle,12 bottles - $275.88,,,
14/27 Assyrtiko 2024 ,Greece,Assyrtiko,Classic Greek Assyrtiko,,2 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Château Vieira 2014 ,France,Cabernet-based blend,Complex 11-Year-Old Bordeaux,,,$29.99 per bottle,12 bottles - $359.88,,,
The Vale McLaren Vale Shiraz 2021 ,Australia,Shiraz,"Luxe, Award-Winning Australian Shiraz",,4 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
East West Red Wine 2024 ,United States,Red blend,Acclaimed California Red,,17 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Almost Famous Carignan 2021 ,United States,Carignan,Rockin’ Lodi Carignan,,5 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Theo-Patra's Cuvee Blanc 2021 ,United States,Chardonnay,Luxurious California Chardonnay,,1 Review,$29.99 per bottle,12 bottles - $359.88,,,
Villa Blue Albariño 2023 ,South Africa,Albariño,Top-Estate Albariño,,9 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Saturday Night Fever Cabernet Sauvignon 2020 ,United States,Cabernet Sauvignon,Groovy California Cabernet,,6 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Gold Top Chardonnay 2023 ,Australia,Chardonnay,Creamy Australian Chardonnay,,2 Reviews,$23.99 per bottle,12 bottles - $287.88,,,
Salt Shaker Central Coast Picpoul 2021 ,United States,Picpoul,Award-Winning California White,,4 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Left of Ordinary Tannat 2024 ,United States,Tannat,Best-in-Glass California Tannat,,17 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Inside Track Chardonnay Willamette Valley 2020 ,United States,Chardonnay,Gold-Medal Willamette Valley Chardonnay,,3 Reviews,$40.99 per bottle,12 bottles - $491.88,$491.88,$276.88,Save $215.00
Antonio Federici Collezione Oro 2021 ,Italy,Montepulciano-based blend,99-Point Roman Treasure,,8 Reviews,$32.99 per bottle,12 bottles - $395.88,,,
Field of Stones Marlborough Rosé 2023 ,New Zealand,Pinot Noir-based blend,Top-Estate New Zealand Rosé,,2 Reviews,$27.99 per bottle,12 bottles - $335.88,,,
Edizione Limitata Numerata 6 Barolo 2020 ,Italy,Nebbiolo,90-Point Barolo,,,$64.99 per bottle,12 bottles - $779.88,,,
Long Bay Sauvignon Blanc 2021 ,South Africa,Sauvignon Blanc,95-Point South African Sauvignon,,14 Reviews,$16.99 per bottle,12 bottles - $203.88,,,
ROC Clairet 2021 ,France,Merlot-based blend,Bordeaux's Original Rosé,,5 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Pignello Pignoletto NV ,Italy,Pignoletto,"90-Point, Double-Gold Italian Bubbly",,18 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
La Porte des Princes Châteauneuf-du-Pape 2020 ,France,Grenache-based blend,Gold-Medal Châteauneuf-du-Pape,,4 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Charles Cros 2023 ,France,Red blend,Unique Southern French Red,,24 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Cabalié Origine 2024 ,France,Red blend,The Ultimate Cabalié,,24 Reviews,$28.99 per bottle,12 bottles - $347.88,,,
Otto Decenni 2021 ,Italy,Sangiovese-based blend,Superlative Super Tuscan,,37 Reviews,$59.99 per bottle,12 bottles - $719.88,,,
Inside Track Limited Release Chardonnay Los Carneros 2023 ,United States,Chardonnay,Top-Secret Los Carneros Chardonnay,,9 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
GFF Zinfandel 2023 ,United States,Zinfandel,Sumptuous California Zinfandel,,83 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Château La Clarière 2021 ,France,Merlot-based blend,Top-Estate Bordeaux,,23 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Château La Clarière 2020 ,France,Merlot-based blend,Multi-Gold 2020 Bordeaux,,23 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Moulin du Prieur 2023 ,France,Merlot-based blend,Brilliant Boutique Bordeaux,,109 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
William Knuttel North Coast Sauvignon Blanc 2021 ,United States,Sauvignon Blanc,Fine California Sauvignon Blanc,,38 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
La Révélation 2022 ,France,Roussanne,Gorgeous French Rousanne,,56 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Roche Bellemont Coteaux d'Aix-en-Provence Rosé 2023 ,France,Grenache-based blend,Star Winemaker’s Provence Rosé,,15 Reviews,$28.99 per bottle,12 bottles - $347.88,,,
Bartolomeo Lorenzi Rosso Veronese 2021 ,Italy,Corvina-based blend,Authentic Northern Italian Red,,6 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Duca di Cardino Rosso di Montepulciano 2020 ,Italy,Red blend,Rich Tuscan Red,,103 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Republique Cabernet Sauvignon 2024 ,United States,Cabernet Sauvignon,Velvety Paso Robles Cabernet,,312 Reviews,$32.99 per bottle,12 bottles - $395.88,,,
L'Art Provençal Rosé 2024 ,France,Grenache-based blend,Artful Provence Rosé,,67 Reviews,$22.99 per bottle,12 bottles - $275.88,,,
Bellemore Family Selection Pinotage Stellenbosch 2020 ,South Africa,Pinotage,Commemorative Pinotage,,,$34.99 per bottle,12 bottles - $419.88,,,
Pagos de Tahola Gran Reserva Rioja 2014 ,Spain,Tempranillo,Top-Estate Gran Reserva,,109 Reviews,$37.99 per bottle,12 bottles - $455.88,,,
Wyfold Vineyard Brut 2016 ,United Kingdom,Chardonnay-based blend,93-Point English Brut of the Year,,2 Reviews,$59.99 per bottle,12 bottles - $719.88,,,
The Gooseberry Bush 2025 ,South Africa,Colombard,South African Thirst Quencher,,215 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
Esulé by RedHeads 2021 ,Australia,Cabernet-based blend,Ultra-Rare Australian Red Blend,,3 Reviews,$59.99 per bottle,12 bottles - $719.88,,,
Cuvée du Vatican Réserve de l'Abbé Châteauneuf-du-Pape 2023 ,France,Grenache-based blend,Top-Estate Châteauneuf Exclusive,,,$49.99 per bottle,12 bottles - $599.88,,,
PS Pétillant Rosé  ,France,Rosé blend,Joyful Southern French Sparkler,,86 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
1888 Barossa Cabernet Sauvignon 2023 (6 bottles)  ,,,RedHeads 1888 Cabernet Vineyard Partnership (6 btls),,,,6 bottles - $239.94,$239.94,$161.94,Save $78.00
Momtazi Family Estate Pinot Noir 2017 (6 bottles) 2017 ,,,Momtazi Pinot Noir Vineyard Partnership (6 bottles),,,,6 bottles - $359.94,$359.94,$239.94,Save $120.00
Luciani Brunello di Montalcino 2018  ,,,Luciani Brunello Vineyard Partnership (6 bottles),,,,6 bottles - $389.94,$389.94,$269.94,Save $120.00
Gourdon Family Thank You Deal  ,,,,,,,12 bottles - $251.88,$251.88,$179.88,Save $72.00
Château Sixtine Châteauneuf-du-Pape 2022 (12 btls)  ,,,Château Sixtine Vineyard Partnership (12 bottles),,,,12 bottles - $839.88,$839.88,$515.88,Save $324.00
Momtazi Family Estate Pinot Noir 2017 (12 bottles) 2017 ,,,Momtazi Pinot Noir Vineyard Partnership (12 bottles),,,,12 bottles - $719.88,$719.88,$479.88,Save $240.00
Brigitte Delmotte Champagne Trio  ,,,Save $65 on Gold-Medal Champagne,,,,3 bottles - $194.97,$194.97,$129.97,Save $65.00
Luxury Napa Red Wine Gift Set + Decanter & Glasses  ,,,The Ultimate Gift for Napa Fans,,,,3 bottles - $139.97,$139.97,$119.99,
Windsor Great Park Sparkling 2016 Trio Gift in Wood Box 2016 ,United Kingdom,Chardonnay-based blend,Rare British Bubbly,,,,3 bottles - $199.99,,,
Hacienda de Lluna Merlot 2024 ,Spain,Merlot,Easy-Drinking Spanish Merlot,,,$15.99 per bottle,12 bottles - $191.88,,,
NPR Planet Money Red Blend Paso Robles 2022 ,United States,Red blend,A Red That Means Business,,,$23.99 per bottle,12 bottles - $287.88,,,
Julien Bouchard Chablis 1er Cru Vaillons 2023 ,France,Chardonnay,Sublime Premier Cru Chablis,,,$49.99 per bottle,12 bottles - $599.88,,,
Chilled Cinsault 2023 ,South Africa,Cinsault,South Africa’s Coolest Red,,6 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Cabalié Blanc 2024 ,France,Viognier-based blend,Moreish Southern French White,,28 Reviews,$17.99 per bottle,12 bottles - $215.88,,,
Ribolla Gialla Spumante Cuvée Biele Zôe 2024 ,Italy,Ribolla Gialla,Refreshing Italian Sparkler,,,$23.99 per bottle,12 bottles - $287.88,,,
TCM 30 Cabernet Sauvignon 2022 ,United States,Cabernet Sauvignon,Special-Edition California Cabernet,,1 Review,$27.99 per bottle,12 bottles - $335.88,,,
Bloom & Bounty Chardonnay 2024 ,United States,Chardonnay,Rich California Chardonnay,,4 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
La Multa Albilla Sobre Lías 2023 ,Spain,Albilla de Villamalea,Rare Spanish White,,1 Review,$34.99 per bottle,12 bottles - $419.88,,,
Black Saint Peter Zinfandel Wine Box 2022 ,United States,Zinfandel,Old-Vine California Zinfandel—Now in a Sleek Box,,608 Reviews,$32.99 per box,12 boxes - $395.88,,,
Touché William Knuttel Cabernet Sauvignon Reserve 2022 ,United States,Cabernet Sauvignon,Luxe Napa Cabernet Reserve,,4 Reviews,$69.99 per bottle,6 bottles - $419.94,,,
On The Line Chenin Blanc 2024 ,United States,Chenin Blanc,Elegant California Chenin Blanc,,12 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Palacio del Conde Gran Selección (magnum) 2016 ,Spain,Tempranillo,Double-Gold Spanish Gran Selección,,778 Reviews,$38.99 per bottle,12 bottles - $467.88,,,
Momtazi Family Estate Pinot Noir 2017 ,United States,Pinot Noir,Exceptional Oregon Pinot,,7 Reviews,$59.99 per bottle,12 bottles - $719.88,,,
Momtazi Family Estate Pinot Noir 2016 ,United States,Pinot Noir,Oregon’s Most Unique Pinot Noir,,7 Reviews,$59.99 per bottle,12 bottles - $719.88,,,
Alfred Hitchcock Petit Verdot 2021 ,United States,Petit Verdot,"Deep, Dark California Petit Verdot",,4 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Schroeder Estate El Patrimonio 2022 ,Argentina,Cabernet-based blend,Ultra-Rare Patagonia Cabernet,,5 Reviews,$34.99 per bottle,12 bottles - $419.88,,,
NPR Throughline White Blend 2021 ,United States,White blend,Vibrant California White,,3 Reviews,$23.99 per bottle,12 bottles - $287.88,,,
Claude Lafond La Raie Reuilly Blanc 2023 ,France,Sauvignon Blanc,Fine Loire Valley Sauvignon,,3 Reviews,$32.99 per bottle,12 bottles - $395.88,,,
Claude Lafond La Raie Reuilly Blanc 2021 ,France,Sauvignon Blanc,Fine Loire Valley Sauvignon,,3 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Selva del Moro Chianti Classico 2020 ,Italy,Sangiovese-based blend,Organically Grown Chianti Classico,,13 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Château Hoclet 2020 ,France,Merlot-based blend,91+ Point Boutique Bordeaux,,4 Reviews,$28.99 per bottle,12 bottles - $347.88,,,
A Trip To The Moon White Blend 2021 ,United States,White blend,Vibrant California White,,6 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Capisco Ribolla Gialla Spumante NV ,Italy,Ribolla Gialla,Italian Sparkling Secret,,9 Reviews,$18.99 per bottle,12 bottles - $227.88,,,
Alerancia 2019 ,Italy,White blend,Elegant Italian Orange Wine,,10 Reviews,$26.99 per bottle,12 bottles - $323.88,$323.88,$239.88,Save $84.00
Field of Stones Marlborough Rosé 2022 ,New Zealand,Pinot Noir-based blend,Top-Estate New Zealand Rosé,,2 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Fluette Gamay 2024 ,France,Gamay,Gamay All-Day,,,$21.99 per bottle,12 bottles - $263.88,$263.88,$179.88,Save $84.00
Blues Brothers Petite Sirah 2019 ,United States,Petite Sirah,Limited-Edition California Petite Sirah,,10 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Le Roi Pinot Noir 2019 ,United States,Pinot Noir,Elegant Sonoma Pinot,,4 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Harold Lloyd Petite Sirah 2019 ,United States,Petite Sirah,Smooth California Petite Sirah,,16 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
L'Chateau Red Wine 2021 ,United States,Red blend,Top-Estate California Red,,38 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Stone Pine Cabernet Sauvignon Navarra 2022 ,Spain,Cabernet Sauvignon,Barrel-Aged Spanish Cabernet,,19 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
RedHeads Harmonie Rox Chardonnay 2023 ,Australia,Chardonnay,"Vibrant, Gold-Medal Australian Chardonnay",,9 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Château Les Aubitriés 2022 ,France,Merlot-based blend,Gold-Medal Red Bordeaux,,40 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Fortissimo 2022 ,Portugal,Touriga Nacional-based blend,Bold Portuguese Blockbuster,,53 Reviews,$19.99 per bottle,12 bottles - $239.88,,,
Diemersdal Winter Ferment Sauvignon Blanc 2021 ,South Africa,Sauvignon Blanc,Top-Estate Sauvignon Blanc,,9 Reviews,$39.99 per bottle,12 bottles - $479.88,,,
Shroud Mountain Cabernet Sauvignon Magnum 2022 ,United States,Cabernet Sauvignon,Hugely Popular California Cabernet—in Magnum,,511 Reviews,$49.99 per bottle,12 bottles - $599.88,,,
Hole in the Clouds Sauvignon Blanc 2023 ,New Zealand,Sauvignon Blanc,Top-Estate New Zealand Sauvignon Blanc,,80 Reviews,$23.99 per bottle,12 bottles - $287.88,,,
Barbuto Primitivo 2024 ,Italy,Primitivo,Top-Estate Italian Primitivo,,109 Reviews,$21.99 per bottle,12 bottles - $263.88,,,
Manga del Brujo Blanco 2022 ,Spain,Macabeo-based blend,Old-Vine Spanish White,,19 Reviews,$26.99 per bottle,12 bottles - $323.88,,,
Création d'Émilie Châteauneuf-du-Pape 2020 ,France,Grenache-based blend,94-Point Châteauneuf Superstar,,25 Reviews,$54.99 per bottle,12 bottles - $659.88,,,
The Prophet by Chapel Hill McLaren Vale Cabernet Sauvignon 2023 ,Australia,Cabernet Sauvignon,Alluring Aussie Cab,,18 Reviews,$29.99 per bottle,12 bottles - $359.88,,,
Le Rosé de La Clarière 2024 ,France,Cabernet Franc-based blend,Boutique Bordeaux Rosé,,1 Review,$29.99 per bottle,12 bottles - $359.88,,,
Pillastro Selezione d'Oro Magnum 2021 ,Italy,Primitivo-based blend,Special-Edition Italian Red,,766 Reviews,$45.99 per bottle,12 bottles - $551.88,,,
Luciani Brunello di Montalcino 2020 ,Italy,Sangiovese,Boutique Estate's Fine Brunello,,17 Reviews,$64.99 per bottle,12 bottles - $779.88,,,
Luciani Brunello di Montalcino 2017 ,Italy,Sangiovese,93-Point Brunello di Montalcino,,4 Reviews,$59.99 per bottle,12 bottles - $719.88,,,
Wyfold Vineyard Rosé 2018 ,United Kingdom,Pinot Noir-based blend,"Fine, 96-Point English Rosé Bubbly",,6 Reviews,$64.99 per bottle,12 bottles - $779.88,,,
Wyfold Vineyard Rosé 2017 ,United Kingdom,Pinot Noir-based blend,Trophy-Winning English Rosé Bubbly,,6 Reviews,$64.99 per bottle,12 bottles - $779.88,,,
Windsor Great Park Vineyard Release 7 NV ,United Kingdom,Chardonnay-based blend,Elegant Champagne Rival,,3 Reviews,$69.99 per bottle,12 bottles - $839.88,,,
Raymond District Collection The Bench Press 2022 ,United States,Cabernet Sauvignon,Glorious Napa Cabernet,,8 Reviews,$119.99 per bottle,6 bottles - $719.94,,,
Château Ramage La Batisse 2011 ,France,Cabernet-based blend,Cru Bourgeois Supérieur,,64 Reviews,$31.99 per bottle,12 bottles - $383.88,,,
Altos de la Guardia Crianza Rioja 2020 ,Spain,Tempranillo,"90-Point, Gold-Medal Rioja",,241 Reviews,$25.99 per bottle,12 bottles - $311.88,,,
Heredad Chavarri Albariño Rías Baixas 2023 ,Spain,Albariño,Top-Estate Spanish Albariño,,49 Reviews,$26.99 per bottle,12 bottles - $323.88,,,
Château L'Evangile 2015 ,France,Merlot-based blend,Mature 100-Point Pomerol Icon,,,$299.99 per bottle,12 bottles - $3599.88,,,
Château Calon-Ségur 2016 ,France,Cabernet-based blend,Mature 100-Point St-Éstephe,,,$199.99 per bottle,12 bottles - $2399.88,,,
Villa Broglia Gavi di Gavi 2023 ,Italy,Cortese,Elegant Gavi di Gavi,,119 Reviews,$24.99 per bottle,12 bottles - $299.88,,,
Barón de Barbón Oak Aged Rioja 2022 ,Spain,Tempranillo,Boutique Rioja Favorite,,419 Reviews,$15.99 per bottle,12 bottles - $191.88,,,
SOMM TV English Sparkling Collection  ,,,The Cream of English Sparkling Wine,,,,4 bottles - $260.96,$260.96,$179.96,Save $81.00
SOMM TV Château La Clarière Vertical Collection (Reds)  ,,,Travel through Three Vintages in Bordeaux,,,,6 bottles - $239.94,$239.94,$189.94,Save $50.00
"SOMM TV Château La Clarière Collection (Red, White, Rosé)  ",,,Uncork Tony Laithwaite’s Three Signature Wines,,,,6 bottles - $209.94,$209.94,$169.94,Save $40.00
SOMM TV Heritage Collection  ,,,Journey Through Bordeaux with Tony Laithwaite,,,,6 bottles - $207.94,$207.94,$169.94,Save $38.00
Le Presbytere de La Clariere 2022 (6 btls)-initial deposit 2022 ,,,,,,,,,,
Inside Track Sonoma Coast Pinot Noir 2023 (6 btls)-initial deposit 2023 ,,,,,,,,,,
Inside Track Sonoma Coast Pinot Noir 2023 (12 btls)-initial deposit 2023 ,,,,,,,,,,
Norrel Robertson Thank You Deal  ,,,,,,,12 bottles - $255.88,$255.88,$179.88,Save $76.00
Leonardo Palumbo Thank You Deal  ,,,"A Dozen Rich Reds from an Italian Legend—Over 20% Off
",,,,12 bottles - $215.88,$215.88,$167.88,Save $48.00
1888 Barossa Cabernet Sauvignon 2023 (12 bottles)  ,,,RedHeads 1888 Cabernet Vineyard Partnership (12 btls),,,,12 bottles - $479.88,$479.88,$299.88,Save $180.00
Premium Napa Trio  ,,,Rare Trio: Exceptional Napa Valley Cabernet,,,,3 bottles - $269.97,$269.97,$185.97,Save $84.00
Le Presbytere de La Clariere 2022 (3 btls)-initial deposit 2022 ,,,,,,,,,,
Bordeaux Red Wine Gift Set  ,France,,Classic Bordeaux Gift Box,,,,2 bottles - $74.99,,,
